Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
12/3/2017,Greenlight Card (KAW),,Jack in the Box,,Childcare:Furnishings,,c,-3.06
12/4/2017,Greenlight Card (KAW),,Transfer Money,,[Schwab High Yield Checking (3810)],,c,50.00
12/6/2017,Greenlight Card (KAW),,Starbucks,,Childcare:Furnishings,,c,-3.75
12/6/2017,Greenlight Card (KAW),,Star Mini Mart,,Childcare:Furnishings,,c,-3.28
12/7/2017,Greenlight Card (KAW),,Bobs Food Market,,Childcare:Furnishings,,c,-2.69
12/11/2017,Greenlight Card (KAW),,Sprouts,,Childcare:Furnishings,,c,-6.69
12/12/2017,Greenlight Card (KAW),,Govindas,,Childcare:Furnishings,,c,-7.05
12/12/2017,Greenlight Card (KAW),,Greenlight,,Childcare:Furnishings,,c,-4.99
12/13/2017,Greenlight Card (KAW),,Signature Burger,,Childcare:Furnishings,,c,-4.92
12/14/2017,Greenlight Card (KAW),,Veggie Grill,,Food:Dining Out - Meal,,c,-10.90
12/14/2017,Greenlight Card (KAW),,Star Mini Mart,,Childcare:Furnishings,,c,-2.09
12/15/2017,Greenlight Card (KAW),,Lush Century City,,Childcare:Leisure,,c,-7.59
12/17/2017,Greenlight Card (KAW),,AliExpress.com,,Childcare:Furnishings,,c,-12.00
12/18/2017,Greenlight Card (KAW),,Govindas,,Childcare:Furnishings,,c,-5.85
12/31/2017,Greenlight Card (KAW),,Spotify.com,,Childcare:Leisure,,c,-9.99
